order_id,order_timestamp,sku_id,quantity,tote_id,side_id,section
500028,2025-09-02 06:45:05,100000,2,A007-AH-042,A007,A007-AH
500028,2025-09-02 06:45:05,100455,2,A003-AI-052,A003,A003-AI
500028,2025-09-02 06:45:05,100113,3,A019-AD-023,A019,A019-AD
500029,2025-09-02 07:19:05,100000,2,A007-AH-042,A007,A007-AH
500030,2025-09-02 07:21:05,100001,4,A020-AB-053,A020,A020-AB
500030,2025-09-02 07:21:05,100000,1,A007-AH-042,A007,A007-AH
500031,2025-09-02 07:44:05,100916,2,A020-AG-032,A020,A020-AG
500032,2025-09-02 07:45:05,100000,2,A007-AH-042,A007,A007-AH
500032,2025-09-02 07:45:05,100051,1,A001-AB-002,A001,A001-AB
500033,2025-09-02 08:15:05,100275,2,A019-AI-002,A019,A019-AI
500033,2025-09-02 08:15:05,100247,2,A004-AC-012,A004,A004-AC
500033,2025-09-02 08:15:05,100009,1,A001-AB-003,A001,A001-AB
500033,2025-09-02 08:15:05,100088,1,A016-AD-031,A016,A016-AD
500034,2025-09-02 08:22:05,100176,1,A006-AA-032,A006,A006-AA
500034,2025-09-02 08:22:05,100096,1,A013-AH-003,A013,A013-AH
500034,2025-09-02 08:22:05,100011,2,A002-AE-013,A002,A002-AE
500035,2025-09-02 08:27:05,100327,7,A011-AB-002,A011,A011-AB
500035,2025-09-02 08:27:05,100452,1,A006-AC-042,A006,A006-AC
500035,2025-09-02 08:27:05,100026,1,A010-AH-021,A010,A010-AH
500035,2025-09-02 08:27:05,102842,4,A007-AC-002,A007,A007-AC
500036,2025-09-02 08:33:05,100026,2,A010-AH-021,A010,A010-AH
500036,2025-09-02 08:33:05,100001,1,A020-AB-053,A020,A020-AB
500036,2025-09-02 08:33:05,100767,1,A020-AF-053,A020,A020-AF
500037,2025-09-02 08:47:05,100000,2,A007-AH-042,A007,A007-AH
500037,2025-09-02 08:47:05,100030,4,A003-AA-002,A003,A003-AA
500038,2025-09-02 08:51:05,100022,3,A017-AC-011,A017,A017-AC
500039,2025-09-02 08:58:05,100013,4,A005-AA-023,A005,A005-AA
500040,2025-09-02 09:43:05,100001,1,A020-AB-053,A020,A020-AB
500040,2025-09-02 09:43:05,100042,1,A010-AC-002,A010,A010-AC
500040,2025-09-02 09:43:05,100010,4,A020-AH-002,A020,A020-AH
500040,2025-09-02 09:43:05,101000,1,A017-AC-002,A017,A017-AC
500041,2025-09-02 10:35:05,102595,2,A007-AH-033,A007,A007-AH
500041,2025-09-02 10:35:05,100005,4,A008-AB-013,A008,A008-AB
500041,2025-09-02 10:35:05,100180,1,A009-AF-023,A009,A009-AF
500041,2025-09-02 10:35:05,100009,1,A001-AB-003,A001,A001-AB
500042,2025-09-02 12:19:05,100030,3,A003-AA-002,A003,A003-AA
500042,2025-09-02 12:19:05,100011,3,A002-AE-013,A002,A002-AE
500042,2025-09-02 12:19:05,100004,5,A010-AF-011,A010,A010-AF
500042,2025-09-02 12:19:05,100008,2,A011-AH-022,A011,A011-AH
500043,2025-09-02 14:00:05,100000,1,A007-AH-042,A007,A007-AH
500044,2025-09-02 14:01:05,100004,1,A010-AF-011,A010,A010-AF
500044,2025-09-02 14:01:05,100035,4,A013-AE-051,A013,A013-AE
500044,2025-09-02 14:01:05,100000,2,A007-AH-042,A007,A007-AH
500044,2025-09-02 14:01:05,100002,3,A017-AJ-033,A017,A017-AJ
500045,2025-09-02 14:30:05,100285,4,A006-AC-032,A006,A006-AC
500046,2025-09-02 14:37:05,100925,5,A014-AG-031,A014,A014-AG
500047,2025-09-02 14:52:05,101719,2,A011-AG-003,A011,A011-AG
500047,2025-09-02 14:52:05,100041,1,A019-AE-001,A019,A019-AE
500048,2025-09-02 16:21:05,100066,1,A007-AB-051,A007,A007-AB
500048,2025-09-02 16:21:05,100174,2,A012-AC-022,A012,A012-AC
500049,2025-09-02 16:30:05,100000,1,A007-AH-042,A007,A007-AH
500049,2025-09-02 16:30:05,100004,1,A010-AF-011,A010,A010-AF
500049,2025-09-02 16:30:05,100001,2,A020-AB-053,A020,A020-AB
500049,2025-09-02 16:30:05,100236,1,A011-AI-042,A011,A011-AI
500050,2025-09-02 17:01:05,100073,3,A008-AA-022,A008,A008-AA
500050,2025-09-02 17:01:05,100002,2,A017-AJ-033,A017,A017-AJ
500050,2025-09-02 17:01:05,100059,5,A005-AJ-011,A005,A005-AJ
500051,2025-09-02 17:28:05,100189,1,A015-AB-041,A015,A015-AB
500052,2025-09-02 17:31:05,103104,1,A004-AD-052,A004,A004-AD
500053,2025-09-02 17:36:05,100019,4,A015-AE-043,A015,A015-AE
500053,2025-09-02 17:36:05,100618,1,A013-AB-001,A013,A013-AB
500054,2025-09-02 18:55:05,100522,3,A014-AB-051,A014,A014-AB
500055,2025-09-02 19:06:05,100004,1,A010-AF-011,A010,A010-AF
500055,2025-09-02 19:06:05,100189,1,A015-AB-041,A015,A015-AB
500056,2025-09-02 19:50:05,101187,6,A011-AE-041,A011,A011-AE
500056,2025-09-02 19:50:05,100423,5,A006-AF-053,A006,A006-AF
500056,2025-09-02 19:50:05,100001,1,A020-AB-053,A020,A020-AB
500056,2025-09-02 19:50:05,100000,2,A007-AH-042,A007,A007-AH
500057,2025-09-02 20:32:05,100020,1,A005-AA-042,A005,A005-AA
500058,2025-09-02 21:16:05,100251,1,A004-AG-051,A004,A004-AG
500058,2025-09-02 21:16:05,100002,3,A017-AJ-033,A017,A017-AJ
500058,2025-09-02 21:16:05,100001,1,A020-AB-053,A020,A020-AB
500058,2025-09-02 21:16:05,100000,1,A007-AH-042,A007,A007-AH
500059,2025-09-02 21:40:05,100006,3,A012-AE-001,A012,A012-AE
500059,2025-09-02 21:40:05,100002,3,A017-AJ-033,A017,A017-AJ
500060,2025-09-02 22:48:05,101469,1,A013-AI-012,A013,A013-AI
500060,2025-09-02 22:48:05,100000,3,A007-AH-042,A007,A007-AH
500061,2025-09-02 23:47:05,100000,2,A007-AH-042,A007,A007-AH
500061,2025-09-02 23:47:05,100000,1,A007-AH-042,A007,A007-AH
500062,2025-09-02 23:50:05,100005,4,A008-AB-013,A008,A008-AB
500062,2025-09-02 23:50:05,100006,5,A012-AE-001,A012,A012-AE
500062,2025-09-02 23:50:05,100074,1,A019-AC-003,A019,A019-AC
500062,2025-09-02 23:50:05,100790,3,A016-AH-033,A016,A016-AH
500063,2025-09-02 23:54:05,100063,4,A008-AA-002,A008,A008-AA
500063,2025-09-02 23:54:05,102425,3,A011-AB-033,A011,A011-AB
500063,2025-09-02 23:54:05,100291,3,A001-AE-031,A001,A001-AE
500064,2025-09-02 23:54:05,100000,1,A007-AH-042,A007,A007-AH
500065,2025-09-03 00:01:05,100012,2,A017-AF-013,A017,A017-AF
500065,2025-09-03 00:01:05,100019,3,A015-AE-043,A015,A015-AE
500065,2025-09-03 00:01:05,100001,4,A020-AB-053,A020,A020-AB
500065,2025-09-03 00:01:05,100120,3,A017-AJ-023,A017,A017-AJ
500065,2025-09-03 00:01:05,100043,1,A019-AB-053,A019,A019-AB
500066,2025-09-03 00:09:05,100004,2,A010-AF-011,A010,A010-AF
500067,2025-09-03 00:40:05,100000,1,A007-AH-042,A007,A007-AH
500067,2025-09-03 00:40:05,100006,1,A012-AE-001,A012,A012-AE
500067,2025-09-03 00:40:05,100006,3,A012-AE-001,A012,A012-AE
500067,2025-09-03 00:40:05,100000,2,A007-AH-042,A007,A007-AH
500067,2025-09-03 00:40:05,100881,3,A014-AB-032,A014,A014-AB
500068,2025-09-03 02:15:05,101249,2,A009-AC-033,A009,A009-AC
500069,2025-09-03 02:49:05,100001,1,A020-AB-053,A020,A020-AB
500069,2025-09-03 02:49:05,100031,1,A006-AA-053,A006,A006-AA
500069,2025-09-03 02:49:05,100104,2,A010-AA-033,A010,A010-AA
500069,2025-09-03 02:49:05,100008,4,A011-AH-022,A011,A011-AH
500070,2025-09-03 03:00:05,102483,2,A010-AE-001,A010,A010-AE
500070,2025-09-03 03:00:05,100312,3,A018-AG-041,A018,A018-AG
500070,2025-09-03 03:00:05,102042,2,A020-AH-012,A020,A020-AH
500071,2025-09-03 03:30:05,100052,8,A016-AB-023,A016,A016-AB
500071,2025-09-03 03:30:05,100047,2,A003-AJ-021,A003,A003-AJ
500071,2025-09-03 03:30:05,100570,2,A015-AI-032,A015,A015-AI
500072,2025-09-03 03:38:05,100097,1,A005-AA-011,A005,A005-AA
500073,2025-09-03 03:44:05,100029,1,A007-AE-033,A007,A007-AE
500074,2025-09-03 03:48:05,100753,2,A009-AB-021,A009,A009-AB
500074,2025-09-03 03:48:05,101704,1,A002-AI-022,A002,A002-AI
500074,2025-09-03 03:48:05,100046,4,A017-AF-003,A017,A017-AF
500074,2025-09-03 03:48:05,100107,4,A009-AJ-031,A009,A009-AJ
500075,2025-09-03 04:02:05,100000,1,A007-AH-042,A007,A007-AH
500075,2025-09-03 04:02:05,100960,2,A020-AI-033,A020,A020-AI
500075,2025-09-03 04:02:05,100101,2,A003-AD-003,A003,A003-AD
500075,2025-09-03 04:02:05,100046,2,A017-AF-003,A017,A017-AF
500075,2025-09-03 04:02:05,100009,4,A001-AB-003,A001,A001-AB
500076,2025-09-03 04:13:05,100324,1,A004-AE-052,A004,A004-AE
500076,2025-09-03 04:13:05,100225,1,A020-AI-041,A020,A020-AI
500076,2025-09-03 04:13:05,100001,4,A020-AB-053,A020,A020-AB
500077,2025-09-03 04:51:05,100549,2,A012-AG-023,A012,A012-AG
500077,2025-09-03 04:51:05,100157,3,A007-AG-031,A007,A007-AG
500078,2025-09-03 05:15:05,100007,1,A011-AF-013,A011,A011-AF
500079,2025-09-03 05:22:05,100279,1,A019-AJ-051,A019,A019-AJ
500079,2025-09-03 05:22:05,103472,2,A007-AA-052,A007,A007-AA
500079,2025-09-03 05:22:05,100055,5,A009-AB-002,A009,A009-AB
500080,2025-09-03 06:17:05,100676,3,A005-AH-012,A005,A005-AH
500080,2025-09-03 06:17:05,100000,2,A007-AH-042,A007,A007-AH
500081,2025-09-03 07:12:05,100000,1,A007-AH-042,A007,A007-AH
500082,2025-09-03 08:35:05,100015,1,A011-AA-023,A011,A011-AA
500082,2025-09-03 08:35:05,100110,4,A009-AJ-003,A009,A009-AJ
500082,2025-09-03 08:35:05,100476,1,A013-AD-032,A013,A013-AD
500083,2025-09-03 08:44:05,100014,1,A003-AA-053,A003,A003-AA
500083,2025-09-03 08:44:05,100004,3,A010-AF-011,A010,A010-AF
500084,2025-09-03 08:54:05,101932,1,A018-AH-003,A018,A018-AH
500085,2025-09-03 09:18:05,100229,1,A004-AE-011,A004,A004-AE
500086,2025-09-03 09:27:05,100500,3,A010-AA-013,A010,A010-AA
500086,2025-09-03 09:27:05,100063,1,A008-AA-002,A008,A008-AA
500086,2025-09-03 09:27:05,100001,1,A020-AB-053,A020,A020-AB
500087,2025-09-03 09:53:05,102156,2,A017-AE-051,A017,A017-AE
500088,2025-09-03 10:11:05,100009,3,A001-AB-003,A001,A001-AB
500088,2025-09-03 10:11:05,101269,3,A009-AB-052,A009,A009-AB
500088,2025-09-03 10:11:05,101151,2,A006-AD-033,A006,A006-AD
500088,2025-09-03 10:11:05,101421,1,A011-AF-022,A011,A011-AF
500088,2025-09-03 10:11:05,100000,2,A007-AH-042,A007,A007-AH
500089,2025-09-03 10:20:05,100000,2,A007-AH-042,A007,A007-AH
500089,2025-09-03 10:20:05,100015,2,A011-AA-023,A011,A011-AA
500090,2025-09-03 10:26:05,100000,3,A007-AH-042,A007,A007-AH
500091,2025-09-03 10:37:05,100041,1,A019-AE-001,A019,A019-AE
500091,2025-09-03 10:37:05,100219,5,A001-AJ-011,A001,A001-AJ
500091,2025-09-03 10:37:05,100006,5,A012-AE-001,A012,A012-AE
500091,2025-09-03 10:37:05,100001,1,A020-AB-053,A020,A020-AB
500092,2025-09-03 10:51:05,100417,5,A009-AJ-042,A009,A009-AJ
500092,2025-09-03 10:51:05,100041,3,A019-AE-001,A019,A019-AE
500092,2025-09-03 10:51:05,100094,4,A018-AC-033,A018,A018-AC
500093,2025-09-03 10:55:05,100331,1,A008-AE-053,A008,A008-AE
500093,2025-09-03 10:55:05,103288,4,A015-AH-001,A015,A015-AH
500094,2025-09-03 11:19:05,100003,2,A008-AI-022,A008,A008-AI
500094,2025-09-03 11:19:05,100023,2,A007-AH-043,A007,A007-AH
500095,2025-09-03 11:27:05,100002,2,A017-AJ-033,A017,A017-AJ
500096,2025-09-03 11:39:05,100079,4,A016-AG-043,A016,A016-AG
500096,2025-09-03 11:39:05,100000,3,A007-AH-042,A007,A007-AH
500096,2025-09-03 11:39:05,100005,2,A008-AB-013,A008,A008-AB
500097,2025-09-03 12:07:05,100000,1,A007-AH-042,A007,A007-AH
500097,2025-09-03 12:07:05,100001,1,A020-AB-053,A020,A020-AB
500098,2025-09-03 12:19:05,100006,2,A012-AE-001,A012,A012-AE
500098,2025-09-03 12:19:05,100057,2,A011-AC-023,A011,A011-AC
500098,2025-09-03 12:19:05,100301,2,A019-AH-011,A019,A019-AH
500098,2025-09-03 12:19:05,100000,2,A007-AH-042,A007,A007-AH
500099,2025-09-03 14:07:05,100186,4,A012-AG-031,A012,A012-AG
500099,2025-09-03 14:07:05,100010,1,A020-AH-002,A020,A020-AH
500099,2025-09-03 14:07:05,100010,1,A020-AH-002,A020,A020-AH
500100,2025-09-03 14:17:05,100079,7,A016-AG-043,A016,A016-AG
500100,2025-09-03 14:17:05,100169,2,A011-AG-011,A011,A011-AG
500100,2025-09-03 14:17:05,100303,1,A014-AJ-031,A014,A014-AJ
500101,2025-09-03 14:28:05,100011,4,A002-AE-013,A002,A002-AE
500101,2025-09-03 14:28:05,100010,3,A020-AH-002,A020,A020-AH
500101,2025-09-03 14:28:05,100029,4,A007-AE-033,A007,A007-AE
500101,2025-09-03 14:28:05,100024,1,A018-AJ-043,A018,A018-AJ
500102,2025-09-03 15:02:05,100000,3,A007-AH-042,A007,A007-AH
500102,2025-09-03 15:02:05,100535,1,A013-AJ-043,A013,A013-AJ
500102,2025-09-03 15:02:05,100005,4,A008-AB-013,A008,A008-AB
500103,2025-09-03 15:21:05,100089,2,A001-AA-001,A001,A001-AA
500103,2025-09-03 15:21:05,100153,2,A016-AA-013,A016,A016-AA
500104,2025-09-03 16:14:05,100014,1,A003-AA-053,A003,A003-AA
500104,2025-09-03 16:14:05,100008,1,A011-AH-022,A011,A011-AH
500105,2025-09-03 16:22:05,100204,2,A009-AI-012,A009,A009-AI
500106,2025-09-03 17:24:05,100006,1,A012-AE-001,A012,A012-AE
500106,2025-09-03 17:24:05,100012,2,A017-AF-013,A017,A017-AF
500106,2025-09-03 17:24:05,100340,2,A013-AH-002,A013,A013-AH
500106,2025-09-03 17:24:05,101664,1,A003-AF-031,A003,A003-AF
500107,2025-09-03 17:33:05,100000,1,A007-AH-042,A007,A007-AH
500107,2025-09-03 17:33:05,100028,2,A014-AI-003,A014,A014-AI
500107,2025-09-03 17:33:05,100361,1,A005-AH-051,A005,A005-AH
500107,2025-09-03 17:33:05,102505,5,A008-AF-051,A008,A008-AF
500108,2025-09-03 17:35:05,100102,2,A012-AI-011,A012,A012-AI
500109,2025-09-03 19:01:05,100035,1,A013-AE-051,A013,A013-AE
500109,2025-09-03 19:01:05,102262,4,A003-AE-033,A003,A003-AE
500109,2025-09-03 19:01:05,101601,1,A020-AI-053,A020,A020-AI
500109,2025-09-03 19:01:05,100002,3,A017-AJ-033,A017,A017-AJ
500109,2025-09-03 19:01:05,100566,4,A013-AG-043,A013,A013-AG
500110,2025-09-03 19:49:05,102066,1,A002-AB-013,A002,A002-AB
500110,2025-09-03 19:49:05,100000,4,A007-AH-042,A007,A007-AH
500110,2025-09-03 19:49:05,100088,4,A016-AD-031,A016,A016-AD
500111,2025-09-03 20:11:05,100000,1,A007-AH-042,A007,A007-AH
500111,2025-09-03 20:11:05,100019,1,A015-AE-043,A015,A015-AE
500112,2025-09-03 20:30:05,100011,1,A002-AE-013,A002,A002-AE
500113,2025-09-03 21:58:05,100000,2,A007-AH-042,A007,A007-AH
500113,2025-09-03 21:58:05,100017,2,A003-AE-042,A003,A003-AE
500114,2025-09-03 22:16:05,100017,2,A003-AE-042,A003,A003-AE
500114,2025-09-03 22:16:05,100004,4,A010-AF-011,A010,A010-AF
500114,2025-09-03 22:16:05,100176,2,A006-AA-032,A006,A006-AA
500115,2025-09-03 23:04:05,100002,2,A017-AJ-033,A017,A017-AJ
500116,2025-09-03 23:19:05,100035,1,A013-AE-051,A013,A013-AE
500116,2025-09-03 23:19:05,100016,2,A019-AH-022,A019,A019-AH
500117,2025-09-03 23:23:05,100001,2,A020-AB-053,A020,A020-AB
500117,2025-09-03 23:23:05,100011,1,A002-AE-013,A002,A002-AE
500117,2025-09-03 23:23:05,100529,1,A011-AA-003,A011,A011-AA
500117,2025-09-03 23:23:05,100003,1,A008-AI-022,A008,A008-AI
500117,2025-09-03 23:23:05,100007,3,A011-AF-013,A011,A011-AF
500117,2025-09-03 23:23:05,100361,1,A005-AH-051,A005,A005-AH
500118,2025-09-03 23:59:05,100019,1,A015-AE-043,A015,A015-AE
500118,2025-09-03 23:59:05,100003,1,A008-AI-022,A008,A008-AI
500118,2025-09-03 23:59:05,100006,1,A012-AE-001,A012,A012-AE
500118,2025-09-03 23:59:05,100046,6,A017-AF-003,A017,A017-AF
500119,2025-09-04 00:07:05,100023,1,A007-AH-043,A007,A007-AH
500119,2025-09-04 00:07:05,100003,3,A008-AI-022,A008,A008-AI
500119,2025-09-04 00:07:05,100171,1,A004-AJ-023,A004,A004-AJ
500120,2025-09-04 01:50:05,100305,4,A005-AA-032,A005,A005-AA
500120,2025-09-04 01:50:05,100137,1,A004-AD-013,A004,A004-AD
500120,2025-09-04 01:50:05,100000,1,A007-AH-042,A007,A007-AH
500121,2025-09-04 02:08:05,100027,1,A010-AC-043,A010,A010-AC
500122,2025-09-04 02:13:05,100062,1,A014-AF-052,A014,A014-AF
500122,2025-09-04 02:13:05,100032,1,A001-AJ-041,A001,A001-AJ
500122,2025-09-04 02:13:05,100010,2,A020-AH-002,A020,A020-AH
500122,2025-09-04 02:13:05,100004,3,A010-AF-011,A010,A010-AF
500122,2025-09-04 02:13:05,103002,2,A015-AB-043,A015,A015-AB
500122,2025-09-04 02:13:05,100000,2,A007-AH-042,A007,A007-AH
500123,2025-09-04 02:40:05,100577,2,A008-AJ-002,A008,A008-AJ
500123,2025-09-04 02:40:05,100021,1,A006-AJ-041,A006,A006-AJ
500123,2025-09-04 02:40:05,100197,2,A011-AB-012,A011,A011-AB
500123,2025-09-04 02:40:05,100000,2,A007-AH-042,A007,A007-AH
500123,2025-09-04 02:40:05,100236,5,A011-AI-042,A011,A011-AI
500124,2025-09-04 03:11:05,100063,1,A008-AA-002,A008,A008-AA
500124,2025-09-04 03:11:05,100000,3,A007-AH-042,A007,A007-AH
500124,2025-09-04 03:11:05,100003,1,A008-AI-022,A008,A008-AI
500125,2025-09-04 03:13:05,100000,1,A007-AH-042,A007,A007-AH
500126,2025-09-04 03:20:05,100338,1,A017-AH-003,A017,A017-AH
500127,2025-09-04 04:49:05,100068,1,A009-AF-042,A009,A009-AF
500128,2025-09-04 04:50:05,100061,1,A008-AB-012,A008,A008-AB
500128,2025-09-04 04:50:05,100002,3,A017-AJ-033,A017,A017-AJ
500128,2025-09-04 04:50:05,100000,2,A007-AH-042,A007,A007-AH
500129,2025-09-04 07:11:05,100001,1,A020-AB-053,A020,A020-AB
500130,2025-09-04 07:37:05,100019,3,A015-AE-043,A015,A015-AE
500130,2025-09-04 07:37:05,100000,1,A007-AH-042,A007,A007-AH
500130,2025-09-04 07:37:05,100013,1,A005-AA-023,A005,A005-AA
500131,2025-09-04 08:59:05,100992,1,A007-AE-042,A007,A007-AE
500131,2025-09-04 08:59:05,100346,3,A002-AB-021,A002,A002-AB
500131,2025-09-04 08:59:05,100017,3,A003-AE-042,A003,A003-AE
500132,2025-09-04 09:04:05,100223,1,A014-AA-042,A014,A014-AA
500133,2025-09-04 09:29:05,100764,1,A020-AG-033,A020,A020-AG
500133,2025-09-04 09:29:05,100049,2,A008-AF-023,A008,A008-AF
500133,2025-09-04 09:29:05,100046,1,A017-AF-003,A017,A017-AF
500133,2025-09-04 09:29:05,100001,1,A020-AB-053,A020,A020-AB
500134,2025-09-04 09:47:05,100049,1,A008-AF-023,A008,A008-AF
500135,2025-09-04 09:49:05,100020,2,A005-AA-042,A005,A005-AA
500135,2025-09-04 09:49:05,100982,3,A011-AI-012,A011,A011-AI
500135,2025-09-04 09:49:05,101815,2,A011-AJ-011,A011,A011-AJ
500135,2025-09-04 09:49:05,100006,6,A012-AE-001,A012,A012-AE
500136,2025-09-04 10:07:05,100010,2,A020-AH-002,A020,A020-AH
500136,2025-09-04 10:07:05,100000,1,A007-AH-042,A007,A007-AH
500137,2025-09-04 10:10:05,100014,1,A003-AA-053,A003,A003-AA
500137,2025-09-04 10:10:05,100000,1,A007-AH-042,A007,A007-AH
500138,2025-09-04 10:58:05,100253,1,A001-AC-023,A001,A001-AC
